region,zone,district_code,district,district32_code,district32
Northern,Northern,101,Chitipa,101,Chitipa
Northern,Northern,102,Karonga,102,Karonga
Northern,Northern,105,Mzimba,105,Mzimba
Central,Central West,206,Lilongwe,210,Lilongwe City
Central,Central West,206,Lilongwe,206,Lilongwe
Central,Central East,205,Salima,205,Salima
Northern,Northern,104,Rumphi,104,Rumphi
Southern,South West,311,Nsanje,311,Nsanje
Southern,South West,305,Blantyre,305,Blantyre
Southern,South East,301,Mangochi,301,Mangochi
Southern,South West,305,Blantyre,315,Blantyre City
Southern,South East,302,Machinga,302,Machinga
Central,Central East,203,Ntchisi,203,Ntchisi
Northern,Northern,103,Nkhata Bay,103,Nkhata Bay
Central,Central East,204,Dowa,204,Dowa
Central,Central West,207,Mchinji,207,Mchinji
Northern,Northern,105,Mzimba,107,Mzuzu City
Central,Central West,209,Ntcheu,209,Ntcheu
Southern,South East,309,Phalombe,309,Phalombe
Southern,South West,304,Chiradzulu,304,Chiradzulu
Southern,South East,308,Mulanje,308,Mulanje
Southern,South West,307,Thyolo,307,Thyolo
Southern,South West,313,Neno,313,Neno
Central,Central East,202,Nkhotakota,202,Nkhotakota
Southern,South East,303,Zomba,303,Zomba
Northern,Northern,106,Likoma,106,Likoma
Central,Central East,201,Kasungu,201,Kasungu
Central,Central West,208,Dedza,208,Dedza
Southern,South West,310,Chikwawa,310,Chikwawa
Southern,South East,312,Balaka,312,Balaka
Southern,South West,306,Mwanza,306,Mwanza
Southern,South East,303,Zomba,314,Zomba City
